path,errors,warnings,AutomatedReadability,ColemanLiau,FleschKincaid,FleschReadingEase,GunningFog,LIX,SMOG
packages/ckeditor5-find-and-replace/CHANGELOG.md,0,1,3.94,7.2,7.4,52.7,9.07,39.33,8.84
packages/ckeditor5-find-and-replace/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-find-and-replace/LICENSE.md,0,4,11.81,14.73,11.9,35.1,16.31,58.75,15.02
packages/ckeditor5-find-and-replace/README.md,0,1,5.01,8.58,6.41,62.45,9.67,37.5,9.52
packages/ckeditor5-find-and-replace/docs/api/find-and-replace.md,0,0,3.07,5.55,4.57,70.66,6.99,32.36,7.55
packages/ckeditor5-find-and-replace/docs/features/find-and-replace.md,0,5,4.72,7.6,5.98,70.2,6.97,33.31,8.72
packages/ckeditor5-font/CHANGELOG.md,0,11,8.3,12.45,7.62,50.02,9.6,47.77,9.81
packages/ckeditor5-font/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-font/LICENSE.md,0,7,10.1,13.17,10.52,42.78,14.71,52.86,13.89
packages/ckeditor5-font/README.md,0,1,4.73,8.04,6.04,61.53,8.87,34.29,8.84
packages/ckeditor5-font/docs/api/font.md,0,0,2.5,3.16,4.3,70.23,7.3,26.76,7.17
packages/ckeditor5-font/docs/features/font.md,0,43,6.2,9.33,7.33,61.16,8.77,34.91,10.3
packages/ckeditor5-heading/CHANGELOG.md,1,24,7.42,11.47,7.38,52.32,8.41,48.18,9.54
packages/ckeditor5-heading/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-heading/LICENSE.md,0,3,10.59,13.52,10.2,46.12,14.27,57.78,13.48
packages/ckeditor5-heading/README.md,0,1,5.28,8.95,6.74,59.23,9.94,39.14,9.52
packages/ckeditor5-heading/docs/api/heading.md,0,0,3.25,4.22,5.31,63.05,7.22,35.12,7.49
packages/ckeditor5-heading/docs/features/headings.md,0,25,6.62,9.88,7.57,59.33,8.8,39.07,10.1
packages/ckeditor5-heading/docs/features/title.md,0,9,6.01,8.71,7.73,60.12,9.07,33.86,10.21
packages/ckeditor5-highlight/CHANGELOG.md,0,11,9.68,13.48,8.94,38.62,11.68,57.9,10.1
packages/ckeditor5-highlight/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-highlight/LICENSE.md,0,3,10.64,13.59,10.2,46.12,14.27,57.78,13.48
packages/ckeditor5-highlight/README.md,0,1,5.62,9.37,6.74,59.23,9.94,39.14,9.52
packages/ckeditor5-highlight/docs/api/highlight.md,0,0,3.4,5.04,5.14,64.95,7.84,32.75,7.55
packages/ckeditor5-highlight/docs/features/highlight.md,0,11,6.02,9.52,7.08,60.58,8.66,35.12,9.83
packages/ckeditor5-horizontal-line/CHANGELOG.md,0,2,10.28,13.89,10.93,23.81,12.37,61.69,10.04
packages/ckeditor5-horizontal-line/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-horizontal-line/LICENSE.md,0,3,10.69,13.59,10.41,44.87,14.65,57.46,13.71
packages/ckeditor5-horizontal-line/README.md,0,1,5.89,9.54,7.4,56.91,11.11,38.23,10.41
packages/ckeditor5-horizontal-line/docs/api/horizontal-line.md,0,0,3.47,5.26,5.6,61.88,8.74,32.11,7.91
packages/ckeditor5-horizontal-line/docs/features/horizontal-line.md,0,10,5.61,9.01,7.63,56.58,9.44,35.87,10.26
packages/ckeditor5-html-embed/CHANGELOG.md,0,1,3.94,7.2,7.4,52.7,9.07,39.33,8.84
packages/ckeditor5-html-embed/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-html-embed/LICENSE.md,0,3,10.45,13.28,10.16,46.63,14.24,56.42,13.48
packages/ckeditor5-html-embed/README.md,0,1,5.19,8.6,6.85,61.38,9.62,34.31,9.99
packages/ckeditor5-html-embed/docs/api/html-embed.md,0,0,2.86,4.5,4.99,66.21,7.71,29.54,7.55
packages/ckeditor5-html-embed/docs/features/html-embed.md,0,24,8.68,11.03,9.57,50.98,11.01,43.31,12.05
packages/ckeditor5-html-support/CHANGELOG.md,0,1,3.94,7.2,7.4,52.7,9.07,39.33,8.84
packages/ckeditor5-html-support/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-html-support/LICENSE.md,0,4,11.85,14.84,11.93,34.64,16.35,58.99,15.02
packages/ckeditor5-html-support/README.md,0,1,6.16,9.68,7.48,57.83,10.92,40.55,10.75
packages/ckeditor5-html-support/docs/api/html-support.md,0,0,2.14,3.6,4.39,70.55,7.71,32.11,7.55
packages/ckeditor5-html-support/docs/features/full-page-html.md,0,2,5.78,9.14,7,61.63,8.01,36.24,10.31
packages/ckeditor5-html-support/docs/features/general-html-support.md,0,28,7.35,9.54,8.63,57.12,10.22,40.62,11.57
packages/ckeditor5-html-support/docs/features/html-comments.md,0,7,7.19,9.88,8.28,57.45,9.58,40.33,11.12
packages/ckeditor5-image/CHANGELOG.md,0,1,5.46,8.91,6.26,59.72,8.66,40.26,9.19
packages/ckeditor5-image/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-image/LICENSE.md,0,4,11.77,14.8,11.97,34.17,16.39,58.44,15.02
packages/ckeditor5-image/README.md,0,2,5.27,8.87,7.17,57.54,9.97,37.78,9.99
packages/ckeditor5-image/docs/api/image.md,0,1,2.27,2.59,4.99,65,6.81,32.53,7.39
packages/ckeditor5-image/docs/features/images-captions.md,0,4,4.44,7.16,6.28,68.57,7.43,31.55,9.12
packages/ckeditor5-image/docs/features/images-inserting.md,0,26,5.76,7.72,7.69,63.23,8.49,31.09,10.38
packages/ckeditor5-image/docs/features/images-installation.md,0,26,7.79,10.27,9.55,49.86,9.67,39.14,11.86
packages/ckeditor5-image/docs/features/images-linking.md,0,7,3.39,5.97,6,69.91,6.93,26.13,9.16
packages/ckeditor5-image/docs/features/images-overview.md,0,28,9.28,11.19,10.19,48.75,10.51,41.86,12.26
packages/ckeditor5-image/docs/features/images-resizing.md,0,25,7.1,8.81,8.54,59.36,9.75,34.64,11.08
packages/ckeditor5-image/docs/features/images-responsive.md,0,17,8.15,10.38,9.06,54.64,10.25,37.07,11.82
packages/ckeditor5-image/docs/features/images-styles.md,0,42,8.31,10.39,9.32,53.47,10.41,37.2,11.83
packages/ckeditor5-image/docs/features/images-text-alternative.md,0,6,6.37,9.79,8.55,51.09,10.62,33.56,11.12
packages/ckeditor5-image/docs/framework/deep-dive/upload-adapter.md,4,73,8.87,9.49,9.74,56.12,11.65,36.89,12.41
packages/ckeditor5-indent/CHANGELOG.md,0,7,10.01,14.75,10.24,32.17,12.5,53.98,10.97
packages/ckeditor5-indent/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-indent/LICENSE.md,0,3,10.79,13.71,10.41,44.87,14.65,57.46,13.71
packages/ckeditor5-indent/README.md,0,1,6.1,9.96,7.48,54.15,11.27,38.7,10.13
packages/ckeditor5-indent/docs/api/indent.md,0,0,3.65,5.35,5.77,60.49,8.89,32.75,7.91
packages/ckeditor5-indent/docs/features/indent.md,0,27,7.49,10.68,8.1,56.93,9.52,40.07,10.7
packages/ckeditor5-language/CHANGELOG.md,0,1,3.94,7.2,7.4,52.7,9.07,39.33,8.84
packages/ckeditor5-language/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-language/LICENSE.md,0,3,10.6,13.4,10.13,47.12,14.2,57.16,13.48
packages/ckeditor5-language/README.md,0,3,5.96,9.26,6.65,64.81,9.23,40.41,9.89
packages/ckeditor5-language/docs/api/language.md,0,2,3.19,5.97,4.61,71.19,6.5,35.7,7.96
packages/ckeditor5-language/docs/features/language.md,0,10,7.05,10.43,7.75,57.95,9.05,40.83,10.3
packages/ckeditor5-link/CHANGELOG.md,0,39,6.74,10.73,6.39,60.31,8.12,42.02,9.43
packages/ckeditor5-link/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-link/LICENSE.md,0,4,11.74,14.75,11.88,34.84,16.39,58.44,15.02
packages/ckeditor5-link/README.md,0,1,5.09,8.57,6.75,61.3,9.23,33.9,9.99
packages/ckeditor5-link/docs/api/link.md,0,0,2.97,5.79,5.3,66.6,6.89,27.4,8.3
packages/ckeditor5-link/docs/features/link.md,0,17,7.96,10.11,9.16,54.04,11.24,37.5,12.16
packages/ckeditor5-list/CHANGELOG.md,2,27,7.01,11.09,7.24,54.62,8.84,42.95,9.78
packages/ckeditor5-list/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-list/LICENSE.md,0,3,10.39,13.28,10.07,47.01,14.27,56.73,13.48
packages/ckeditor5-list/README.md,0,1,5.5,8.94,7.32,58.42,10.31,38.45,10.69
packages/ckeditor5-list/docs/api/list.md,0,0,2.98,5.49,5.21,66.23,7.49,32.68,8.17
packages/ckeditor5-list/docs/features/document-lists.md,0,7,5.98,8.92,6.95,64.53,7.79,34.71,9.99
packages/ckeditor5-list/docs/features/lists.md,0,18,5.97,8.51,6.77,67.66,7.51,34.97,9.98
packages/ckeditor5-list/docs/features/todo-lists.md,0,7,4.59,6.85,6.3,70.74,7.8,31.4,9.54
packages/ckeditor5-markdown-gfm/CHANGELOG.md,0,27,13.28,18.89,15.35,-1.45,16.64,64.37,13.54
packages/ckeditor5-markdown-gfm/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-markdown-gfm/LICENSE.md,0,5,10.18,13.67,9.8,46.35,13.26,56.45,13.02
packages/ckeditor5-markdown-gfm/README.md,0,1,6.11,9.95,7.4,55.4,10.33,39.17,9.83
packages/ckeditor5-markdown-gfm/docs/api/markdown-gfm.md,0,0,3.88,5.91,5.73,61.07,8.6,34,7.91
packages/ckeditor5-markdown-gfm/docs/features/markdown.md,0,23,9.2,11.56,9.49,52.02,10.41,42.52,11.59
packages/ckeditor5-markdown-gfm/docs/features/paste-markdown.md,0,8,6.74,9.64,7.33,62.94,8.39,35.26,10.13
packages/ckeditor5-media-embed/CHANGELOG.md,0,12,7.24,11.33,7.24,54.08,9.69,45.41,9.87
packages/ckeditor5-media-embed/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-media-embed/LICENSE.md,0,3,10.5,13.34,10.41,44.87,14.65,56.42,13.71
packages/ckeditor5-media-embed/README.md,0,1,5.2,8.59,7.7,55.5,11.61,32.83,10.75
packages/ckeditor5-media-embed/docs/api/media-embed.md,0,0,3.12,6.02,6.01,61.71,9.52,27.12,8.84
packages/ckeditor5-media-embed/docs/features/media-embed.md,0,54,8.16,10.53,9.58,50.36,12.09,39.89,12.55
packages/ckeditor5-mention/CHANGELOG.md,5,15,7.37,11.55,7.76,50.95,9.33,45.78,9.69
packages/ckeditor5-mention/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-mention/LICENSE.md,0,4,11.85,14.89,11.97,34.17,16.39,59.24,15.02
packages/ckeditor5-mention/README.md,0,1,6.78,10.73,8.18,50.67,11.33,39.25,10.41
packages/ckeditor5-mention/docs/api/mention.md,0,0,4.62,7.45,6.58,56.15,8.13,34.05,8
packages/ckeditor5-mention/docs/examples/chat-with-mentions.md,0,1,7.77,10.15,9.06,53.72,12.47,34,12.38
packages/ckeditor5-mention/docs/features/mentions.md,0,47,6.97,9.79,8.33,56.26,9.76,38.76,10.85
packages/ckeditor5-minimap/CHANGELOG.md,0,1,3.94,7.2,7.4,52.7,9.07,39.33,8.84
packages/ckeditor5-minimap/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-minimap/LICENSE.md,0,3,10.54,13.46,10.32,45.23,14.69,57.78,13.71
packages/ckeditor5-minimap/README.md,0,1,5.96,9.66,7.47,56.18,11.18,43.1,10.41
packages/ckeditor5-minimap/docs/api/minimap.md,0,0,3.15,4.73,5.46,62.72,8.89,32.75,7.91
packages/ckeditor5-minimap/docs/features/minimap.md,0,15,6.32,8.85,7.76,61,11.24,38.23,11.4
packages/ckeditor5-page-break/CHANGELOG.md,0,1,9.72,12.32,9.59,32.39,11.37,61.76,9.42
packages/ckeditor5-page-break/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-page-break/LICENSE.md,0,3,10.45,13.28,10.04,47.51,14.24,56.42,13.48
packages/ckeditor5-page-break/README.md,0,1,4.83,8.22,5.82,68.28,9.32,33.75,9.52
packages/ckeditor5-page-break/docs/api/page-break.md,0,0,2.86,4.5,4.69,68.38,7.71,29.54,7.55
packages/ckeditor5-page-break/docs/features/page-break.md,0,6,5.75,8.27,7,65.86,8.72,33.39,10.02
